qa_review_id,alert_id,alert_date,rule_id,rule_name,analyst_id,qa_reviewer_id,risk_score,review_minutes,alert_age_days,disposition,qa_result,qa_issue
QA0041,ALT01474,2026-08-08,R003,Rapid Movement of Funds,ANL09,ANL12,65.0,19,9,Escalate to Case,Pass,None
QA0042,ALT01392,2026-08-31,R008,Dormant Account Reactivation,ANL11,ANL12,49.0,38,2,Close - Explained Activity,Pass,None
QA0043,ALT01674,2026-03-23,R005,High-Value Wire,ANL06,ANL12,61.0,34,8,Close - False Positive,Pass,None
QA0044,ALT00077,2026-04-12,R001,Structuring / Cash Activity,ANL10,ANL12,61.0,38,6,Close - False Positive,Pass,None
QA0045,ALT00842,2026-04-13,R001,Structuring / Cash Activity,ANL08,ANL12,92.0,59,14,Escalate to Case,Pass,None
QA0046,ALT01854,2026-05-06,R003,Rapid Movement of Funds,ANL12,ANL12,52.0,25,9,Close - Explained Activity,Pass,None
QA0047,ALT02960,2026-01-05,R004,Unusual Volume Increase,ANL01,ANL12,34.0,34,10,Close - False Positive,Pass,None
QA0048,ALT01004,2026-07-04,R003,Rapid Movement of Funds,ANL12,ANL12,59.0,27,13,Close - False Positive,Pass,None
QA0049,ALT02560,2026-05-02,R004,Unusual Volume Increase,ANL08,ANL12,65.0,33,7,Close - False Positive,Pass,None
QA0050,ALT00650,2026-04-19,R002,High-Risk Jurisdiction Wire,ANL01,ANL12,76.0,28,6,Close - False Positive,Pass,None
QA0051,ALT00135,2026-06-11,R008,Dormant Account Reactivation,ANL01,ANL12,71.0,39,15,Close - False Positive,Pass,None
QA0052,ALT00455,2026-03-08,R001,Structuring / Cash Activity,ANL10,ANL12,70.0,29,4,Close - False Positive,Pass,None
QA0053,ALT01493,2026-08-03,R002,High-Risk Jurisdiction Wire,ANL03,ANL12,70.0,46,16,Close - False Positive,Pass,None
QA0054,ALT02771,2026-09-22,R002,High-Risk Jurisdiction Wire,ANL10,ANL12,55.0,33,8,Close - False Positive,Pass,None
QA0055,ALT00299,2026-09-19,R005,High-Value Wire,ANL05,ANL12,73.0,31,11,Escalate to Case,Pass,None
QA0056,ALT00897,2026-03-18,R001,Structuring / Cash Activity,ANL08,ANL12,42.0,21,2,Close - False Positive,Pass,None
QA0057,ALT01409,2026-07-21,R003,Rapid Movement of Funds,ANL02,ANL12,73.0,46,10,Close - Explained Activity,Pass,None
QA0058,ALT03331,2026-04-13,R004,Unusual Volume Increase,ANL11,ANL12,84.0,27,1,Close - False Positive,Pass,None
QA0059,ALT01861,2026-08-04,R003,Rapid Movement of Funds,ANL03,ANL12,48.0,46,11,Close - False Positive,Pass,None
QA0060,ALT01223,2026-02-19,R004,Unusual Volume Increase,ANL11,ANL12,38.0,46,8,Escalate to Case,Pass,None
QA0061,ALT02799,2026-09-14,R004,Unusual Volume Increase,ANL09,ANL12,46.0,55,7,Close - False Positive,Pass,None
QA0062,ALT03249,2026-09-30,R008,Dormant Account Reactivation,ANL03,ANL12,49.0,61,22,Close - False Positive,Fail,KYC Context Missing
QA0063,ALT01905,2026-03-07,R001,Structuring / Cash Activity,ANL01,ANL12,53.0,41,9,Close - Explained Activity,Pass,None
QA0064,ALT02968,2026-02-26,R004,Unusual Volume Increase,ANL10,ANL12,50.0,40,12,Close - Explained Activity,Pass,None
QA0065,ALT03480,2026-02-05,R007,Cash Intensive Business,ANL06,ANL12,45.0,35,13,Close - False Positive,Pass,None
QA0066,ALT01718,2026-04-06,R003,Rapid Movement of Funds,ANL05,ANL12,40.0,47,4,Close - False Positive,Fail,Insufficient Narrative
QA0067,ALT01160,2026-09-29,R005,High-Value Wire,ANL10,ANL12,58.0,19,9,Escalate to Case,Pass,None
QA0068,ALT00515,2026-05-30,R006,P2P Funnel Activity,ANL12,ANL12,46.0,36,7,Close - False Positive,Pass,None
QA0069,ALT00056,2026-03-20,R005,High-Value Wire,ANL01,ANL12,48.0,39,13,Escalate to Case,Pass,None
QA0070,ALT00730,2026-07-12,R006,P2P Funnel Activity,ANL11,ANL12,64.0,42,7,Close - False Positive,Pass,None
QA0071,ALT00817,2026-07-23,R001,Structuring / Cash Activity,ANL06,ANL12,27.0,40,8,Escalate to Case,Pass,None
QA0072,ALT02683,2026-01-10,R004,Unusual Volume Increase,ANL11,ANL12,67.0,49,8,Close - False Positive,Pass,None
QA0073,ALT01584,2026-03-05,R001,Structuring / Cash Activity,ANL11,ANL12,28.0,40,7,Close - False Positive,Pass,None
QA0074,ALT03165,2026-08-30,R002,High-Risk Jurisdiction Wire,ANL03,ANL12,41.0,33,12,Close - False Positive,Pass,None
QA0075,ALT00445,2026-01-27,R003,Rapid Movement of Funds,ANL05,ANL12,67.0,17,7,Close - False Positive,Pass,None
QA0076,ALT03128,2026-06-28,R005,High-Value Wire,ANL08,ANL12,43.0,33,4,Escalate to Case,Pass,None
QA0077,ALT03263,2026-06-27,R008,Dormant Account Reactivation,ANL03,ANL12,72.0,47,17,Escalate to Case,Fail,Incomplete Transaction Review
QA0078,ALT02661,2026-08-02,R002,High-Risk Jurisdiction Wire,ANL07,ANL12,35.0,27,6,Close - False Positive,Pass,None
QA0079,ALT00423,2026-06-02,R005,High-Value Wire,ANL12,ANL12,74.0,32,34,Close - Explained Activity,Pass,None
QA0080,ALT01074,2026-08-16,R001,Structuring / Cash Activity,ANL01,ANL12,61.0,18,13,Close - False Positive,Fail,Insufficient Narrative
QA0081,ALT00705,2026-04-13,R006,P2P Funnel Activity,ANL10,ANL12,52.0,31,5,Close - False Positive,Pass,None
QA0082,ALT02554,2026-01-23,R002,High-Risk Jurisdiction Wire,ANL09,ANL12,30.0,56,12,Escalate to Case,Pass,None
QA0083,ALT02462,2026-03-16,R002,High-Risk Jurisdiction Wire,ANL05,ANL12,37.0,60,16,Close - Explained Activity,Pass,None
QA0084,ALT00635,2026-01-23,R006,P2P Funnel Activity,ANL08,ANL12,36.0,37,1,Close - False Positive,Pass,None
QA0085,ALT03004,2026-02-09,R006,P2P Funnel Activity,ANL10,ANL12,59.0,51,3,Close - False Positive,Pass,None
QA0086,ALT03481,2026-03-11,R004,Unusual Volume Increase,ANL05,ANL12,97.0,45,11,Close - Explained Activity,Pass,None
QA0087,ALT01890,2026-06-20,R003,Rapid Movement of Funds,ANL01,ANL12,91.0,60,8,Close - Explained Activity,Pass,None
QA0088,ALT03199,2026-04-16,R004,Unusual Volume Increase,ANL02,ANL12,68.0,25,5,Close - False Positive,Pass,None
QA0089,ALT00816,2026-05-17,R004,Unusual Volume Increase,ANL11,ANL12,31.0,12,12,Close - False Positive,Pass,None
QA0090,ALT01254,2026-01-04,R003,Rapid Movement of Funds,ANL08,ANL12,38.0,24,10,Close - False Positive,Pass,None
QA0091,ALT00827,2026-03-09,R006,P2P Funnel Activity,ANL06,ANL12,57.0,34,9,Close - False Positive,Pass,None
QA0092,ALT01673,2026-07-04,R002,High-Risk Jurisdiction Wire,ANL10,ANL12,64.0,64,7,Close - Explained Activity,Pass,None
QA0093,ALT02142,2026-02-14,R001,Structuring / Cash Activity,ANL11,ANL12,44.0,52,6,Close - False Positive,Pass,None
QA0094,ALT00772,2026-04-07,R003,Rapid Movement of Funds,ANL11,ANL12,90.0,28,7,Close - False Positive,Fail,Insufficient Narrative
QA0095,ALT00306,2026-05-21,R006,P2P Funnel Activity,ANL09,ANL12,68.0,87,6,Escalate to Case,Pass,None
QA0096,ALT02693,2026-08-04,R008,Dormant Account Reactivation,ANL11,ANL12,56.0,35,16,Close - Explained Activity,Pass,None
QA0097,ALT01679,2026-07-01,R003,Rapid Movement of Funds,ANL09,ANL12,47.0,32,9,Close - False Positive,Pass,None
QA0098,ALT02925,2026-07-09,R003,Rapid Movement of Funds,ANL10,ANL12,35.0,19,1,Close - Explained Activity,Pass,None
QA0099,ALT02198,2026-05-27,R004,Unusual Volume Increase,ANL08,ANL12,48.0,43,4,Close - False Positive,Pass,None
QA0100,ALT03522,2026-09-22,R001,Structuring / Cash Activity,ANL09,ANL12,47.0,52,6,Close - False Positive,Fail,Disposition Not Supported
QA0101,ALT03595,2026-05-13,R006,P2P Funnel Activity,ANL06,ANL12,6.0,42,5,Close - False Positive,Pass,None
QA0102,ALT02617,2026-01-04,R004,Unusual Volume Increase,ANL05,ANL12,66.0,45,3,Close - False Positive,Pass,None
QA0103,ALT02690,2026-04-19,R002,High-Risk Jurisdiction Wire,ANL03,ANL12,69.0,52,24,Close - False Positive,Pass,None
QA0104,ALT01140,2026-05-16,R002,High-Risk Jurisdiction Wire,ANL05,ANL12,100.0,39,6,Close - Explained Activity,Pass,None
QA0105,ALT01633,2026-01-21,R002,High-Risk Jurisdiction Wire,ANL11,ANL12,73.0,39,28,Escalate to Case,Pass,None
QA0106,ALT01916,2026-03-30,R002,High-Risk Jurisdiction Wire,ANL08,ANL12,89.0,44,7,Escalate to Case,Pass,None
QA0107,ALT02565,2026-05-14,R002,High-Risk Jurisdiction Wire,ANL10,ANL12,63.0,59,3,Escalate to Case,Pass,None
QA0108,ALT00916,2026-01-08,R003,Rapid Movement of Funds,ANL04,ANL12,49.0,48,4,Close - False Positive,Pass,None
QA0109,ALT02603,2026-09-24,R006,P2P Funnel Activity,ANL03,ANL12,60.0,35,7,Close - False Positive,Pass,None
QA0110,ALT02521,2026-03-18,R006,P2P Funnel Activity,ANL01,ANL12,28.0,36,7,Close - False Positive,Pass,None
QA0111,ALT00062,2026-01-30,R002,High-Risk Jurisdiction Wire,ANL07,ANL12,41.0,33,7,Close - Explained Activity,Pass,None
QA0112,ALT02531,2026-06-24,R003,Rapid Movement of Funds,ANL06,ANL12,57.0,62,10,Close - False Positive,Pass,None
QA0113,ALT01218,2026-07-10,R001,Structuring / Cash Activity,ANL03,ANL12,46.0,43,16,Close - False Positive,Pass,None
QA0114,ALT00907,2026-03-10,R006,P2P Funnel Activity,ANL08,ANL12,51.0,17,5,Close - False Positive,Pass,None
QA0115,ALT03104,2026-04-02,R001,Structuring / Cash Activity,ANL10,ANL12,83.0,42,2,Close - False Positive,Pass,None
QA0116,ALT03429,2026-08-15,R003,Rapid Movement of Funds,ANL04,ANL12,24.0,48,7,Close - False Positive,Pass,None
QA0117,ALT01862,2026-01-15,R004,Unusual Volume Increase,ANL11,ANL12,95.0,58,11,Escalate to Case,Pass,None
QA0118,ALT02952,2026-06-29,R001,Structuring / Cash Activity,ANL03,ANL12,31.0,41,10,Escalate to Case,Pass,None
QA0119,ALT00153,2026-05-11,R005,High-Value Wire,ANL09,ANL12,96.0,32,17,Escalate to Case,Pass,None
QA0120,ALT03226,2026-02-26,R002,High-Risk Jurisdiction Wire,ANL09,ANL12,71.0,56,2,Escalate to Case,Pass,None
QA0121,ALT00294,2026-02-23,R001,Structuring / Cash Activity,ANL06,ANL12,65.0,54,18,Close - False Positive,Pass,None
QA0122,ALT01550,2026-07-28,R008,Dormant Account Reactivation,ANL05,ANL12,34.0,45,13,Close - False Positive,Pass,None
QA0123,ALT00523,2026-01-02,R002,High-Risk Jurisdiction Wire,ANL06,ANL12,55.0,49,15,Escalate to Case,Pass,None
QA0124,ALT01463,2026-06-11,R005,High-Value Wire,ANL04,ANL12,69.0,54,14,Escalate to Case,Fail,Insufficient Narrative
QA0125,ALT01899,2026-05-22,R002,High-Risk Jurisdiction Wire,ANL03,ANL12,56.0,38,5,Escalate to Case,Pass,None
QA0126,ALT01715,2026-09-23,R003,Rapid Movement of Funds,ANL10,ANL12,100.0,56,3,Close - False Positive,Pass,None
QA0127,ALT03029,2026-03-09,R003,Rapid Movement of Funds,ANL08,ANL12,65.0,26,16,Close - Explained Activity,Pass,None
QA0128,ALT00431,2026-05-03,R001,Structuring / Cash Activity,ANL07,ANL12,31.0,39,19,Close - Explained Activity,Pass,None
QA0129,ALT02298,2026-06-09,R003,Rapid Movement of Funds,ANL06,ANL12,58.0,8,12,Close - False Positive,Pass,None
QA0130,ALT02228,2026-04-13,R004,Unusual Volume Increase,ANL02,ANL12,54.0,36,16,Close - False Positive,Pass,None
QA0131,ALT01362,2026-09-08,R005,High-Value Wire,ANL01,ANL12,68.0,32,16,Close - False Positive,Pass,None
QA0132,ALT01150,2026-06-25,R002,High-Risk Jurisdiction Wire,ANL05,ANL12,23.0,18,6,Close - False Positive,Fail,Disposition Not Supported
QA0133,ALT01479,2026-08-24,R001,Structuring / Cash Activity,ANL05,ANL12,21.0,55,14,Escalate to Case,Pass,None
QA0134,ALT03519,2026-04-19,R008,Dormant Account Reactivation,ANL05,ANL12,64.0,31,12,Close - False Positive,Fail,Incomplete Transaction Review
QA0135,ALT00933,2026-03-23,R001,Structuring / Cash Activity,ANL09,ANL12,70.0,40,14,Close - False Positive,Fail,KYC Context Missing
QA0136,ALT02828,2026-07-01,R003,Rapid Movement of Funds,ANL03,ANL12,48.0,36,13,Escalate to Case,Pass,None
QA0137,ALT02211,2026-03-19,R004,Unusual Volume Increase,ANL04,ANL12,63.0,34,4,Close - False Positive,Pass,None
QA0138,ALT00793,2026-07-05,R002,High-Risk Jurisdiction Wire,ANL09,ANL12,62.0,34,18,Close - Explained Activity,Pass,None
QA0139,ALT01048,2026-06-28,R005,High-Value Wire,ANL07,ANL12,64.0,24,3,Escalate to Case,Pass,None
QA0140,ALT02768,2026-02-05,R004,Unusual Volume Increase,ANL04,ANL12,65.0,29,15,Close - False Positive,Pass,None
QA0141,ALT03501,2026-09-22,R005,High-Value Wire,ANL01,ANL12,48.0,35,5,Close - Explained Activity,Pass,None
QA0142,ALT01626,2026-07-13,R006,P2P Funnel Activity,ANL10,ANL12,48.0,34,7,Escalate to Case,Pass,None
QA0143,ALT03457,2026-03-03,R003,Rapid Movement of Funds,ANL12,ANL12,51.0,39,16,Close - Explained Activity,Pass,None
QA0144,ALT01646,2026-01-18,R006,P2P Funnel Activity,ANL12,ANL12,86.0,29,18,Close - False Positive,Pass,None
QA0145,ALT03220,2026-04-02,R001,Structuring / Cash Activity,ANL03,ANL12,71.0,17,15,Close - False Positive,Pass,None
QA0146,ALT02474,2026-07-21,R007,Cash Intensive Business,ANL09,ANL12,48.0,49,9,Close - Explained Activity,Fail,Escalation Rationale Weak
QA0147,ALT03105,2026-01-03,R005,High-Value Wire,ANL06,ANL12,29.0,43,2,Close - False Positive,Pass,None
QA0148,ALT02712,2026-08-29,R004,Unusual Volume Increase,ANL03,ANL12,55.0,19,3,Close - False Positive,Pass,None
QA0149,ALT00864,2026-01-27,R004,Unusual Volume Increase,ANL05,ANL12,47.0,54,10,Close - False Positive,Pass,None
QA0150,ALT00762,2026-07-05,R003,Rapid Movement of Funds,ANL02,ANL12,69.0,9,7,Escalate to Case,Fail,Incomplete Transaction Review
QA0151,ALT02543,2026-08-18,R004,Unusual Volume Increase,ANL10,ANL12,68.0,86,14,Escalate to Case,Fail,Escalation Rationale Weak
QA0152,ALT02166,2026-09-16,R003,Rapid Movement of Funds,ANL11,ANL12,37.0,40,1,Close - False Positive,Pass,None
QA0153,ALT03230,2026-05-19,R003,Rapid Movement of Funds,ANL02,ANL12,34.0,54,6,Close - Explained Activity,Pass,None
QA0154,ALT03152,2026-09-23,R003,Rapid Movement of Funds,ANL03,ANL12,81.0,48,11,Close - Explained Activity,Pass,None
QA0155,ALT00964,2026-07-05,R008,Dormant Account Reactivation,ANL11,ANL12,65.0,58,8,Close - False Positive,Pass,None
QA0156,ALT02102,2026-09-15,R003,Rapid Movement of Funds,ANL12,ANL12,40.0,16,17,Close - False Positive,Pass,None
QA0157,ALT00103,2026-06-23,R005,High-Value Wire,ANL01,ANL12,94.0,14,10,Close - False Positive,Pass,None
QA0158,ALT00226,2026-04-11,R005,High-Value Wire,ANL03,ANL12,81.0,37,6,Close - False Positive,Pass,None
QA0159,ALT00390,2026-04-16,R002,High-Risk Jurisdiction Wire,ANL10,ANL12,61.0,13,16,Escalate to Case,Pass,None
QA0160,ALT01380,2026-05-05,R003,Rapid Movement of Funds,ANL11,ANL12,78.0,50,26,Close - Explained Activity,Pass,None
QA0161,ALT02241,2026-01-01,R004,Unusual Volume Increase,ANL07,ANL12,42.0,56,7,Close - False Positive,Pass,None
QA0162,ALT00718,2026-02-23,R003,Rapid Movement of Funds,ANL02,ANL12,28.0,44,2,Close - False Positive,Pass,None
QA0163,ALT01751,2026-08-15,R007,Cash Intensive Business,ANL06,ANL12,26.0,41,17,Close - False Positive,Pass,None
QA0164,ALT02568,2026-05-03,R004,Unusual Volume Increase,ANL04,ANL12,41.0,41,6,Close - False Positive,Fail,Disposition Not Supported
QA0165,ALT00678,2026-08-24,R008,Dormant Account Reactivation,ANL06,ANL12,60.0,34,9,Escalate to Case,Pass,None
QA0166,ALT03465,2026-07-15,R006,P2P Funnel Activity,ANL09,ANL12,64.0,48,27,Escalate to Case,Pass,None
QA0167,ALT00882,2026-05-27,R005,High-Value Wire,ANL03,ANL12,66.0,42,14,Escalate to Case,Pass,None
QA0168,ALT01946,2026-02-26,R008,Dormant Account Reactivation,ANL11,ANL12,41.0,32,7,Close - Explained Activity,Pass,None
QA0169,ALT02129,2026-02-17,R005,High-Value Wire,ANL04,ANL12,63.0,23,2,Escalate to Case,Pass,None
QA0170,ALT01969,2026-06-08,R008,Dormant Account Reactivation,ANL02,ANL12,41.0,44,14,Escalate to Case,Pass,None
QA0171,ALT00939,2026-09-14,R006,P2P Funnel Activity,ANL10,ANL12,57.0,34,14,Close - False Positive,Pass,None
QA0172,ALT03035,2026-08-24,R003,Rapid Movement of Funds,ANL10,ANL12,55.0,30,9,Close - False Positive,Pass,None
QA0173,ALT00912,2026-07-04,R001,Structuring / Cash Activity,ANL04,ANL12,80.0,57,20,Close - False Positive,Pass,None
QA0174,ALT01188,2026-06-15,R002,High-Risk Jurisdiction Wire,ANL09,ANL12,56.0,45,3,Close - False Positive,Pass,None
QA0175,ALT01381,2026-06-02,R003,Rapid Movement of Funds,ANL03,ANL12,50.0,35,7,Close - Explained Activity,Pass,None
QA0176,ALT02504,2026-01-19,R002,High-Risk Jurisdiction Wire,ANL12,ANL12,39.0,14,7,Close - Explained Activity,Pass,None
QA0177,ALT02368,2026-05-16,R002,High-Risk Jurisdiction Wire,ANL03,ANL12,53.0,35,9,Close - False Positive,Pass,None
QA0178,ALT03145,2026-07-06,R004,Unusual Volume Increase,ANL07,ANL12,72.0,42,3,Escalate to Case,Fail,Insufficient Narrative
QA0179,ALT03577,2026-01-27,R005,High-Value Wire,ANL05,ANL12,15.0,45,14,Escalate to Case,Fail,Incomplete Transaction Review
QA0180,ALT02694,2026-06-14,R003,Rapid Movement of Funds,ANL08,ANL12,38.0,17,0,Close - Explained Activity,Fail,KYC Context Missing
QA0181,ALT02628,2026-09-12,R006,P2P Funnel Activity,ANL10,ANL12,87.0,32,4,Escalate to Case,Pass,None
QA0182,ALT01421,2026-02-10,R005,High-Value Wire,ANL10,ANL12,33.0,11,5,Escalate to Case,Pass,None
QA0183,ALT00870,2026-08-10,R002,High-Risk Jurisdiction Wire,ANL09,ANL12,50.0,22,7,Close - False Positive,Pass,None
QA0184,ALT00615,2026-01-15,R001,Structuring / Cash Activity,ANL08,ANL12,76.0,28,2,Close - False Positive,Fail,Escalation Rationale Weak
QA0185,ALT00437,2026-03-20,R006,P2P Funnel Activity,ANL11,ANL12,56.0,50,8,Close - False Positive,Pass,None
QA0186,ALT02068,2026-06-05,R003,Rapid Movement of Funds,ANL06,ANL12,72.0,52,9,Close - Explained Activity,Fail,Insufficient Narrative
QA0187,ALT00222,2026-07-08,R004,Unusual Volume Increase,ANL04,ANL12,56.0,38,5,Close - False Positive,Pass,None
QA0188,ALT00406,2026-01-28,R008,Dormant Account Reactivation,ANL10,ANL12,41.0,61,3,Close - False Positive,Fail,KYC Context Missing
QA0189,ALT01094,2026-05-04,R005,High-Value Wire,ANL04,ANL12,50.0,24,10,Close - Explained Activity,Fail,Insufficient Narrative
QA0190,ALT03463,2026-07-07,R004,Unusual Volume Increase,ANL04,ANL12,54.0,43,11,Close - False Positive,Pass,None
QA0191,ALT01593,2026-04-27,R006,P2P Funnel Activity,ANL08,ANL12,72.0,39,15,Close - False Positive,Pass,None
QA0192,ALT01260,2026-04-15,R003,Rapid Movement of Funds,ANL05,ANL12,62.0,50,11,Close - False Positive,Pass,None
QA0193,ALT02098,2026-04-08,R004,Unusual Volume Increase,ANL11,ANL12,70.0,36,14,Close - False Positive,Pass,None
QA0194,ALT00097,2026-01-17,R004,Unusual Volume Increase,ANL07,ANL12,100.0,35,1,Close - False Positive,Pass,None
QA0195,ALT00151,2026-07-05,R004,Unusual Volume Increase,ANL05,ANL12,79.0,20,15,Close - False Positive,Fail,Incomplete Transaction Review
QA0196,ALT00020,2026-03-09,R001,Structuring / Cash Activity,ANL11,ANL12,77.0,16,1,Close - False Positive,Pass,None
QA0197,ALT02859,2026-06-28,R001,Structuring / Cash Activity,ANL01,ANL12,66.0,14,6,Close - False Positive,Pass,None
QA0198,ALT00241,2026-09-16,R003,Rapid Movement of Funds,ANL12,ANL12,43.0,29,13,Close - Explained Activity,Pass,None
QA0199,ALT00774,2026-07-01,R002,High-Risk Jurisdiction Wire,ANL08,ANL12,72.0,17,1,Close - False Positive,Pass,None
QA0200,ALT01762,2026-01-17,R008,Dormant Account Reactivation,ANL10,ANL12,42.0,28,8,Close - False Positive,Pass,None
QA0201,ALT02387,2026-08-26,R004,Unusual Volume Increase,ANL05,ANL12,40.0,71,6,Close - False Positive,Pass,None
QA0202,ALT01288,2026-06-05,R001,Structuring / Cash Activity,ANL10,ANL12,81.0,64,2,Close - False Positive,Pass,None
QA0203,ALT02576,2026-04-13,R007,Cash Intensive Business,ANL12,ANL12,72.0,24,7,Close - Explained Activity,Pass,None
QA0204,ALT03315,2026-01-04,R002,High-Risk Jurisdiction Wire,ANL08,ANL12,45.0,29,6,Close - False Positive,Pass,None
QA0205,ALT02497,2026-07-16,R005,High-Value Wire,ANL03,ANL12,56.0,53,10,Close - False Positive,Fail,Insufficient Narrative
QA0206,ALT01101,2026-03-01,R003,Rapid Movement of Funds,ANL07,ANL12,64.0,37,12,Close - False Positive,Pass,None
QA0207,ALT02437,2026-03-25,R007,Cash Intensive Business,ANL05,ANL12,61.0,44,15,Close - False Positive,Pass,None
QA0208,ALT02192,2026-05-06,R006,P2P Funnel Activity,ANL07,ANL12,57.0,35,1,Close - False Positive,Pass,None
