alert_id,alert_date,rule_id,analyst_id,risk_score,alert_amount,alert_age_days,review_minutes,disposition,sar_flag,rule_name,channel_focus,false_positive_flag,escalated_flag,month
ALT00041,2026-01-25,R001,ANL05,37.0,54011.75,11,51,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-01
ALT00042,2026-03-25,R004,ANL01,51.0,5797.98,8,22,Close - False Positive,0,Unusual Volume Increase,All,1,0,2026-03
ALT00043,2026-04-16,R002,ANL03,68.0,34296.68,23,12,Close - False Positive,0,High-Risk Jurisdiction Wire,Wire,1,0,2026-04
ALT00044,2026-06-03,R004,ANL01,34.0,11861.54,4,53,Close - Explained Activity,0,Unusual Volume Increase,All,0,0,2026-06
ALT00045,2026-01-18,R004,ANL02,17.0,3660.56,6,22,Close - False Positive,0,Unusual Volume Increase,All,1,0,2026-01
ALT00046,2026-08-24,R002,ANL06,34.0,43224.77,2,31,Escalate to Case,0,High-Risk Jurisdiction Wire,Wire,0,1,2026-08
ALT00047,2026-03-15,R007,ANL09,53.0,15113.71,3,41,Close - False Positive,0,Cash Intensive Business,Cash,1,0,2026-03
ALT00048,2026-04-22,R002,ANL08,69.0,2379.08,8,42,Escalate to Case,0,High-Risk Jurisdiction Wire,Wire,0,1,2026-04
ALT00049,2026-03-18,R006,ANL10,53.0,49921.89,4,23,Close - False Positive,0,P2P Funnel Activity,P2P,1,0,2026-03
ALT00050,2026-03-05,R004,ANL12,65.0,101480.79,5,48,Close - Explained Activity,0,Unusual Volume Increase,All,0,0,2026-03
ALT00051,2026-03-13,R005,ANL01,59.0,8526.42,8,64,Close - False Positive,0,High-Value Wire,Wire,1,0,2026-03
ALT00052,2026-04-30,R005,ANL08,41.0,25352.39,21,26,Close - False Positive,0,High-Value Wire,Wire,1,0,2026-04
ALT00053,2026-06-25,R003,ANL04,61.0,48916.09,6,34,Close - Explained Activity,0,Rapid Movement of Funds,ACH/P2P/Wire,0,0,2026-06
ALT00054,2026-02-23,R007,ANL11,76.0,13088.65,2,43,Close - Explained Activity,0,Cash Intensive Business,Cash,0,0,2026-02
ALT00055,2026-03-09,R001,ANL12,27.0,90922.75,11,38,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-03
ALT00056,2026-03-20,R005,ANL01,48.0,10904.02,13,39,Escalate to Case,1,High-Value Wire,Wire,0,1,2026-03
ALT00057,2026-06-15,R002,ANL02,65.0,27135.26,4,8,Escalate to Case,0,High-Risk Jurisdiction Wire,Wire,0,1,2026-06
ALT00058,2026-03-12,R005,ANL04,79.0,7818.79,10,19,Close - False Positive,0,High-Value Wire,Wire,1,0,2026-03
ALT00059,2026-01-31,R006,ANL02,50.0,32760.62,16,13,Close - False Positive,0,P2P Funnel Activity,P2P,1,0,2026-01
ALT00060,2026-02-28,R003,ANL01,52.0,17469.08,2,33,Close - False Positive,0,Rapid Movement of Funds,ACH/P2P/Wire,1,0,2026-02
ALT00061,2026-07-18,R001,ANL07,14.0,5055.32,18,53,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-07
ALT00062,2026-01-30,R002,ANL07,41.0,12237.63,7,33,Close - Explained Activity,0,High-Risk Jurisdiction Wire,Wire,0,0,2026-01
ALT00063,2026-02-08,R006,ANL07,88.0,9346.64,6,51,Close - False Positive,0,P2P Funnel Activity,P2P,1,0,2026-02
ALT00064,2026-08-05,R004,ANL08,64.0,6072.92,8,46,Close - False Positive,0,Unusual Volume Increase,All,1,0,2026-08
ALT00065,2026-06-27,R002,ANL05,57.0,42338.72,6,31,Escalate to Case,0,High-Risk Jurisdiction Wire,Wire,0,1,2026-06
ALT00066,2026-05-04,R005,ANL11,63.0,87796.05,7,34,Close - False Positive,0,High-Value Wire,Wire,1,0,2026-05
ALT00067,2026-08-19,R007,ANL10,100.0,7561.78,12,57,Escalate to Case,0,Cash Intensive Business,Cash,0,1,2026-08
ALT00068,2026-07-04,R001,ANL01,88.0,4423.94,4,32,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-07
ALT00069,2026-09-30,R006,ANL03,56.0,37506.21,8,48,Close - Explained Activity,0,P2P Funnel Activity,P2P,0,0,2026-09
ALT00070,2026-05-31,R003,ANL11,76.0,103667.98,16,33,Escalate to Case,0,Rapid Movement of Funds,ACH/P2P/Wire,0,1,2026-05
ALT00071,2026-06-13,R006,ANL02,45.0,57090.74,6,58,Close - False Positive,0,P2P Funnel Activity,P2P,1,0,2026-06
ALT00072,2026-03-14,R004,ANL04,54.0,26370.16,10,56,Close - False Positive,0,Unusual Volume Increase,All,1,0,2026-03
ALT00073,2026-08-18,R003,ANL12,33.0,24312.4,12,37,Close - False Positive,0,Rapid Movement of Funds,ACH/P2P/Wire,1,0,2026-08
ALT00074,2026-04-11,R005,ANL08,64.0,15987.3,0,32,Close - Explained Activity,0,High-Value Wire,Wire,0,0,2026-04
ALT00075,2026-03-11,R004,ANL03,34.0,9799.19,3,22,Close - False Positive,0,Unusual Volume Increase,All,1,0,2026-03
ALT00076,2026-07-21,R004,ANL01,75.0,17958.6,11,29,Close - False Positive,0,Unusual Volume Increase,All,1,0,2026-07
ALT00077,2026-04-12,R001,ANL10,61.0,23661.28,6,38,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-04
ALT00078,2026-08-09,R004,ANL11,59.0,32852.35,5,79,Close - False Positive,0,Unusual Volume Increase,All,1,0,2026-08
ALT00079,2026-03-27,R004,ANL02,49.0,7814.61,10,32,Escalate to Case,0,Unusual Volume Increase,All,0,1,2026-03
ALT00080,2026-07-25,R002,ANL11,40.0,11642.6,5,43,Close - False Positive,0,High-Risk Jurisdiction Wire,Wire,1,0,2026-07
ALT00081,2026-01-18,R002,ANL05,44.0,31958.32,3,37,Escalate to Case,0,High-Risk Jurisdiction Wire,Wire,0,1,2026-01
ALT00082,2026-06-02,R001,ANL02,27.0,7871.39,3,33,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-06
ALT00083,2026-04-24,R005,ANL03,40.0,69919.47,3,39,Close - False Positive,0,High-Value Wire,Wire,1,0,2026-04
ALT00084,2026-04-10,R004,ANL12,52.0,15558.71,6,36,Close - False Positive,0,Unusual Volume Increase,All,1,0,2026-04
ALT00085,2026-05-13,R006,ANL08,49.0,11256.06,20,57,Escalate to Case,0,P2P Funnel Activity,P2P,0,1,2026-05
ALT00086,2026-09-11,R001,ANL07,64.0,14061.15,8,43,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-09
ALT00087,2026-05-02,R007,ANL06,84.0,32086.14,4,34,Escalate to Case,0,Cash Intensive Business,Cash,0,1,2026-05
ALT00088,2026-01-22,R003,ANL10,89.0,52780.39,13,29,Close - False Positive,0,Rapid Movement of Funds,ACH/P2P/Wire,1,0,2026-01
ALT00089,2026-04-01,R006,ANL10,56.0,4529.94,2,59,Close - False Positive,0,P2P Funnel Activity,P2P,1,0,2026-04
ALT00090,2026-08-10,R007,ANL09,34.0,12414.31,8,11,Close - False Positive,0,Cash Intensive Business,Cash,1,0,2026-08
ALT00091,2026-05-29,R002,ANL04,81.0,19477.8,15,41,Escalate to Case,0,High-Risk Jurisdiction Wire,Wire,0,1,2026-05
ALT00092,2026-04-27,R004,ANL11,47.0,65865.68,17,62,Close - False Positive,0,Unusual Volume Increase,All,1,0,2026-04
ALT00093,2026-01-01,R006,ANL03,62.0,10549.64,12,33,Close - False Positive,0,P2P Funnel Activity,P2P,1,0,2026-01
ALT00094,2026-06-07,R006,ANL06,45.0,1895.13,15,23,Escalate to Case,0,P2P Funnel Activity,P2P,0,1,2026-06
ALT00095,2026-05-16,R004,ANL02,64.0,15091.37,8,41,Close - False Positive,0,Unusual Volume Increase,All,1,0,2026-05
ALT00096,2026-08-04,R002,ANL04,61.0,54643.82,12,38,Close - False Positive,0,High-Risk Jurisdiction Wire,Wire,1,0,2026-08
ALT00097,2026-01-17,R004,ANL07,100.0,10802.18,1,35,Close - False Positive,0,Unusual Volume Increase,All,1,0,2026-01
ALT00098,2026-02-04,R002,ANL08,59.0,9625.02,8,25,Close - Explained Activity,0,High-Risk Jurisdiction Wire,Wire,0,0,2026-02
ALT00099,2026-07-01,R005,ANL06,92.0,30653.52,6,13,Close - Explained Activity,0,High-Value Wire,Wire,0,0,2026-07
ALT00100,2026-04-21,R004,ANL01,28.0,3163.75,2,34,Close - False Positive,0,Unusual Volume Increase,All,1,0,2026-04
ALT00101,2026-03-16,R002,ANL12,76.0,9340.89,11,16,Close - Explained Activity,0,High-Risk Jurisdiction Wire,Wire,0,0,2026-03
ALT00102,2026-02-03,R003,ANL09,47.0,79456.83,4,12,Close - False Positive,0,Rapid Movement of Funds,ACH/P2P/Wire,1,0,2026-02
ALT00103,2026-06-23,R005,ANL01,94.0,21573.67,10,14,Close - False Positive,0,High-Value Wire,Wire,1,0,2026-06
ALT00104,2026-03-07,R003,ANL08,82.0,52640.87,15,31,Escalate to Case,0,Rapid Movement of Funds,ACH/P2P/Wire,0,1,2026-03
ALT00105,2026-01-10,R002,ANL01,67.0,7527.34,3,20,Close - False Positive,0,High-Risk Jurisdiction Wire,Wire,1,0,2026-01
ALT00106,2026-09-16,R004,ANL05,79.0,5135.61,18,33,Close - False Positive,0,Unusual Volume Increase,All,1,0,2026-09
ALT00107,2026-03-01,R004,ANL06,59.0,12530.76,5,35,Close - False Positive,0,Unusual Volume Increase,All,1,0,2026-03
ALT00108,2026-08-08,R007,ANL04,36.0,18729.79,3,42,Close - False Positive,0,Cash Intensive Business,Cash,1,0,2026-08
ALT00109,2026-01-15,R001,ANL06,23.0,28032.52,23,42,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-01
ALT00110,2026-04-02,R003,ANL05,83.0,30628.08,8,25,Escalate to Case,0,Rapid Movement of Funds,ACH/P2P/Wire,0,1,2026-04
ALT00111,2026-08-14,R004,ANL10,84.0,15214.34,9,51,Close - False Positive,0,Unusual Volume Increase,All,1,0,2026-08
ALT00112,2026-01-09,R002,ANL09,52.0,3060.46,5,53,Close - Explained Activity,0,High-Risk Jurisdiction Wire,Wire,0,0,2026-01
ALT00113,2026-06-02,R007,ANL03,69.0,9712.42,12,51,Close - False Positive,0,Cash Intensive Business,Cash,1,0,2026-06
ALT00114,2026-04-11,R004,ANL01,50.0,59443.2,2,40,Close - False Positive,0,Unusual Volume Increase,All,1,0,2026-04
ALT00115,2026-05-29,R002,ANL10,46.0,25032.29,26,40,Escalate to Case,1,High-Risk Jurisdiction Wire,Wire,0,1,2026-05
ALT00116,2026-01-05,R001,ANL08,45.0,18404.88,8,25,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-01
ALT00117,2026-02-23,R008,ANL02,56.0,80238.97,7,50,Escalate to Case,0,Dormant Account Reactivation,All,0,1,2026-02
ALT00118,2026-09-12,R008,ANL03,74.0,20474.65,2,74,Close - False Positive,0,Dormant Account Reactivation,All,1,0,2026-09
ALT00119,2026-09-06,R003,ANL07,56.0,13828.28,6,33,Escalate to Case,0,Rapid Movement of Funds,ACH/P2P/Wire,0,1,2026-09
ALT00120,2026-03-22,R007,ANL04,68.0,3208.45,11,25,Close - False Positive,0,Cash Intensive Business,Cash,1,0,2026-03
ALT00121,2026-05-06,R001,ANL01,56.0,32562.73,5,37,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-05
ALT00122,2026-04-01,R003,ANL11,54.0,20523.8,5,36,Escalate to Case,0,Rapid Movement of Funds,ACH/P2P/Wire,0,1,2026-04
ALT00123,2026-07-02,R002,ANL02,47.0,25486.7,4,32,Escalate to Case,0,High-Risk Jurisdiction Wire,Wire,0,1,2026-07
ALT00124,2026-05-31,R006,ANL06,73.0,34577.23,25,57,Close - Explained Activity,0,P2P Funnel Activity,P2P,0,0,2026-05
ALT00125,2026-05-06,R006,ANL05,58.0,25483.47,16,31,Escalate to Case,0,P2P Funnel Activity,P2P,0,1,2026-05
ALT00126,2026-06-21,R006,ANL10,52.0,6403.27,7,27,Close - False Positive,0,P2P Funnel Activity,P2P,1,0,2026-06
ALT00127,2026-07-03,R005,ANL11,45.0,7072.75,9,12,Escalate to Case,0,High-Value Wire,Wire,0,1,2026-07
ALT00128,2026-06-19,R002,ANL06,70.0,10293.35,7,37,Close - Explained Activity,0,High-Risk Jurisdiction Wire,Wire,0,0,2026-06
ALT00129,2026-04-20,R007,ANL10,41.0,33180.75,12,35,Close - False Positive,0,Cash Intensive Business,Cash,1,0,2026-04
ALT00130,2026-03-22,R001,ANL01,57.0,93289.69,12,23,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-03
ALT00131,2026-07-14,R001,ANL01,83.0,42493.58,21,48,Close - Explained Activity,0,Structuring / Cash Activity,Cash,0,0,2026-07
ALT00132,2026-05-19,R003,ANL10,59.0,59615.38,10,55,Close - False Positive,0,Rapid Movement of Funds,ACH/P2P/Wire,1,0,2026-05
ALT00133,2026-03-28,R008,ANL02,64.0,17165.09,7,65,Close - False Positive,0,Dormant Account Reactivation,All,1,0,2026-03
ALT00134,2026-04-22,R001,ANL05,24.0,133290.93,6,44,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-04
ALT00135,2026-06-11,R008,ANL01,71.0,8363.95,15,39,Close - False Positive,0,Dormant Account Reactivation,All,1,0,2026-06
ALT00136,2026-05-12,R001,ANL11,56.0,264268.77,6,30,Escalate to Case,0,Structuring / Cash Activity,Cash,0,1,2026-05
ALT00137,2026-04-06,R007,ANL06,53.0,25213.03,10,40,Close - Explained Activity,0,Cash Intensive Business,Cash,0,0,2026-04
ALT00138,2026-09-02,R001,ANL12,56.0,158471.68,1,45,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-09
ALT00139,2026-06-12,R005,ANL08,72.0,24524.33,5,48,Close - False Positive,0,High-Value Wire,Wire,1,0,2026-06
ALT00140,2026-01-28,R007,ANL10,55.0,17827.07,21,34,Close - False Positive,0,Cash Intensive Business,Cash,1,0,2026-01
ALT00141,2026-07-25,R004,ANL11,82.0,44555.46,8,29,Escalate to Case,0,Unusual Volume Increase,All,0,1,2026-07
ALT00142,2026-02-24,R005,ANL11,64.0,6422.22,9,67,Close - False Positive,0,High-Value Wire,Wire,1,0,2026-02
ALT00143,2026-08-01,R008,ANL03,52.0,67816.87,15,73,Escalate to Case,0,Dormant Account Reactivation,All,0,1,2026-08
ALT00144,2026-04-04,R002,ANL01,45.0,43626.02,6,40,Close - False Positive,0,High-Risk Jurisdiction Wire,Wire,1,0,2026-04
ALT00145,2026-05-12,R007,ANL04,72.0,72193.8,1,37,Close - False Positive,0,Cash Intensive Business,Cash,1,0,2026-05
ALT00146,2026-07-05,R004,ANL04,43.0,19513.46,1,52,Close - Explained Activity,0,Unusual Volume Increase,All,0,0,2026-07
ALT00147,2026-03-14,R001,ANL02,55.0,21976.82,28,37,Escalate to Case,0,Structuring / Cash Activity,Cash,0,1,2026-03
ALT00148,2026-03-31,R001,ANL01,60.0,45931.57,9,53,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-03
ALT00149,2026-09-09,R005,ANL05,55.0,21220.25,9,39,Close - False Positive,0,High-Value Wire,Wire,1,0,2026-09
ALT00150,2026-04-27,R001,ANL06,52.0,14156.46,7,36,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-04
ALT00151,2026-07-05,R004,ANL05,79.0,32297.86,15,20,Close - False Positive,0,Unusual Volume Increase,All,1,0,2026-07
ALT00152,2026-03-23,R001,ANL07,50.0,42971.9,17,48,Close - Explained Activity,0,Structuring / Cash Activity,Cash,0,0,2026-03
ALT00153,2026-05-11,R005,ANL09,96.0,22530.61,17,32,Escalate to Case,0,High-Value Wire,Wire,0,1,2026-05
ALT00154,2026-05-11,R004,ANL07,51.0,292760.89,15,20,Close - False Positive,0,Unusual Volume Increase,All,1,0,2026-05
ALT00155,2026-09-29,R002,ANL05,63.0,32049.57,5,57,Close - Explained Activity,0,High-Risk Jurisdiction Wire,Wire,0,0,2026-09
ALT00156,2026-02-08,R005,ANL02,54.0,32791.02,1,51,Close - False Positive,0,High-Value Wire,Wire,1,0,2026-02
ALT00157,2026-06-25,R001,ANL11,59.0,7653.88,5,41,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-06
ALT00158,2026-08-03,R001,ANL10,83.0,9270.05,7,50,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-08
ALT00159,2026-01-21,R004,ANL09,55.0,131382.79,17,43,Close - False Positive,0,Unusual Volume Increase,All,1,0,2026-01
ALT00160,2026-06-24,R005,ANL12,15.0,58520.52,3,24,Close - Explained Activity,0,High-Value Wire,Wire,0,0,2026-06
ALT00161,2026-07-20,R001,ANL03,47.0,17264.88,10,47,Close - Explained Activity,0,Structuring / Cash Activity,Cash,0,0,2026-07
ALT00162,2026-09-01,R003,ANL06,46.0,54676.02,17,27,Close - Explained Activity,0,Rapid Movement of Funds,ACH/P2P/Wire,0,0,2026-09
ALT00163,2026-08-01,R002,ANL10,39.0,46233.19,14,38,Close - False Positive,0,High-Risk Jurisdiction Wire,Wire,1,0,2026-08
ALT00164,2026-06-12,R007,ANL04,74.0,25914.04,9,53,Escalate to Case,0,Cash Intensive Business,Cash,0,1,2026-06
ALT00165,2026-01-03,R005,ANL05,31.0,15185.86,7,51,Escalate to Case,1,High-Value Wire,Wire,0,1,2026-01
ALT00166,2026-05-14,R004,ANL12,62.0,35445.92,14,51,Close - False Positive,0,Unusual Volume Increase,All,1,0,2026-05
ALT00167,2026-02-09,R007,ANL06,31.0,41697.49,20,39,Close - Explained Activity,0,Cash Intensive Business,Cash,0,0,2026-02
ALT00168,2026-04-04,R007,ANL12,60.0,3872.41,1,40,Escalate to Case,0,Cash Intensive Business,Cash,0,1,2026-04
ALT00169,2026-09-17,R003,ANL01,76.0,961.89,11,37,Close - False Positive,0,Rapid Movement of Funds,ACH/P2P/Wire,1,0,2026-09
ALT00170,2026-07-30,R003,ANL10,37.0,34223.97,17,8,Close - Explained Activity,0,Rapid Movement of Funds,ACH/P2P/Wire,0,0,2026-07
ALT00171,2026-08-12,R003,ANL03,56.0,28074.04,15,34,Escalate to Case,1,Rapid Movement of Funds,ACH/P2P/Wire,0,1,2026-08
ALT00172,2026-08-05,R002,ANL05,34.0,14910.19,9,52,Close - False Positive,0,High-Risk Jurisdiction Wire,Wire,1,0,2026-08
ALT00173,2026-08-01,R003,ANL04,59.0,7002.21,8,56,Close - Explained Activity,0,Rapid Movement of Funds,ACH/P2P/Wire,0,0,2026-08
ALT00174,2026-01-30,R007,ANL02,62.0,16175.07,5,45,Close - False Positive,0,Cash Intensive Business,Cash,1,0,2026-01
ALT00175,2026-06-17,R003,ANL08,40.0,19632.4,7,58,Close - False Positive,0,Rapid Movement of Funds,ACH/P2P/Wire,1,0,2026-06
ALT00176,2026-04-28,R002,ANL03,43.0,48267.5,11,53,Escalate to Case,1,High-Risk Jurisdiction Wire,Wire,0,1,2026-04
ALT00177,2026-06-09,R004,ANL06,33.0,2466.93,10,27,Escalate to Case,0,Unusual Volume Increase,All,0,1,2026-06
ALT00178,2026-06-24,R002,ANL10,72.0,36705.25,5,56,Escalate to Case,0,High-Risk Jurisdiction Wire,Wire,0,1,2026-06
ALT00179,2026-02-11,R002,ANL09,51.0,9323.76,5,54,Escalate to Case,0,High-Risk Jurisdiction Wire,Wire,0,1,2026-02
ALT00180,2026-01-27,R007,ANL10,52.0,29536.07,13,29,Escalate to Case,0,Cash Intensive Business,Cash,0,1,2026-01
ALT00181,2026-05-18,R006,ANL12,52.0,14145.9,6,8,Close - False Positive,0,P2P Funnel Activity,P2P,1,0,2026-05
ALT00182,2026-08-01,R005,ANL11,53.0,23760.52,7,44,Close - False Positive,0,High-Value Wire,Wire,1,0,2026-08
ALT00183,2026-02-18,R003,ANL05,35.0,3977.44,1,59,Escalate to Case,0,Rapid Movement of Funds,ACH/P2P/Wire,0,1,2026-02
ALT00184,2026-02-10,R007,ANL11,60.0,17660.58,7,46,Close - False Positive,0,Cash Intensive Business,Cash,1,0,2026-02
ALT00185,2026-06-10,R006,ANL02,52.0,13949.25,7,48,Escalate to Case,1,P2P Funnel Activity,P2P,0,1,2026-06
ALT00186,2026-02-15,R003,ANL04,60.0,6986.85,11,42,Close - Explained Activity,0,Rapid Movement of Funds,ACH/P2P/Wire,0,0,2026-02
ALT00187,2026-05-03,R005,ANL06,42.0,6719.29,12,42,Close - Explained Activity,0,High-Value Wire,Wire,0,0,2026-05
ALT00188,2026-05-26,R004,ANL05,83.0,9575.52,1,8,Close - Explained Activity,0,Unusual Volume Increase,All,0,0,2026-05
ALT00189,2026-07-08,R007,ANL06,39.0,4201.08,6,49,Close - False Positive,0,Cash Intensive Business,Cash,1,0,2026-07
ALT00190,2026-01-05,R001,ANL10,41.0,54441.33,3,38,Escalate to Case,0,Structuring / Cash Activity,Cash,0,1,2026-01
ALT00191,2026-09-21,R001,ANL10,68.0,30846.57,19,40,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-09
ALT00192,2026-04-21,R006,ANL06,90.0,16293.12,10,73,Escalate to Case,0,P2P Funnel Activity,P2P,0,1,2026-04
ALT00193,2026-07-05,R001,ANL03,5.0,81882.41,1,22,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-07
ALT00194,2026-06-25,R003,ANL01,51.0,4341.16,21,29,Escalate to Case,1,Rapid Movement of Funds,ACH/P2P/Wire,0,1,2026-06
ALT00195,2026-05-25,R004,ANL03,78.0,19632.24,2,59,Escalate to Case,0,Unusual Volume Increase,All,0,1,2026-05
ALT00196,2026-05-23,R004,ANL10,50.0,100928.78,4,22,Close - False Positive,0,Unusual Volume Increase,All,1,0,2026-05
ALT00197,2026-03-07,R007,ANL01,44.0,14925.52,13,40,Close - False Positive,0,Cash Intensive Business,Cash,1,0,2026-03
ALT00198,2026-06-17,R001,ANL12,54.0,20646.24,2,33,Close - False Positive,0,Structuring / Cash Activity,Cash,1,0,2026-06
